Charges,NW Counts,SF Counts
TRANSPORTATION OF UNLAWFULLY TAKEN FISH/ANIMALS INTO OR OUT OF THE COMMONWEALTH c. 131 s. 85,0,2
"TRAP, UNLAWFUL c131 §80A",1,0
TRASH TREATMENT FACILITY REGULATION VIOL c111 §150A,4,0
"TRASH, DUMP FROM MV +7 CU FT c270 §16",9,2
"TRASH, LITTER FROM MV c270 §16",25,32
"TRASH, LITTER c270 §16",25,29
"TREE/SHRUB, WANTONLY INJURE PUBLIC c87 §12",0,1
"TREES, CUT/DESTROY c266 §113",0,2
"TRESPASS NOTICE, VANDALIZE c266 §122",0,1
TRESPASS ON STATE/COUNTY PROPERTY c266 §123,4,213
TRESPASS WITH FIREARM c266 §121,0,1
TRESPASS WITH MOTOR VEHICLE * c266 §121A,25,14
TRESPASS WITH NON-MV VEHICLE  c266 §121A,4,0
TRESPASS WITH NON-MV VEHICLE c266 §121A,0,2
TRESPASS c. 266 s. 120,0,9
TRESPASS c266 §120,637,8956
TRUCK FAIL DISPLAY OWNER¿S NAME * 540 CMR §2.22(1),0,12
"TRUCK, B&E FOR FELONY c266 §20A",2,5
"TRUCK, ENTER FOR FELONY c266 §20A",0,5
"TRUCK, LARCENY FROM c266 §20B",0,9
"TURKEY, HUNT/POSSESS WILD c131 §75",1,0
"TURN, IMPROPER * c90 §14",28,357
"Trafficking Cocaine (36-100g), c94C,s32E(b)(2)",2,0
"Trafficking Heroin (18-36g), c94C,s32E(c)(1)",32,0
"Trafficking Heroin (36-100g), c94C,s32E(c)(2)",16,0
"Trafficking Heroin (36-100g), c94C,s32E(c)(2)-HABITUAL",1,0
UNAUTHORIZED USE OF CREDIT CARDS c. 140D s. 27,0,48
"UNEMPLOYMENT COMP ADMIN, OBSTRUCT c151A §47",0,1
UNEMPLOYMENT COMP VIOLATION c151A §47,0,4
"UNEMPLOYMENT COMP, FALSE STATEMENT FOR c151A §47",0,268
UNINSURED MOTOR VEHICLE c. 90 s. 34J,0,8
UNINSURED MOTOR VEHICLE c90 §34J,2499,8036
"UNINSURED MOTOR VEHICLE, SUBSQ.OFF",3,0
UNLAWFUL DEACTIVATION/REMOVAL THEFT PROTECTION DEVICE c266 §30B,0,2
UNLAWFUL EXPLOSION OF A DESTRUCTIVE OR INCENDIARY DEVICE c266 §102B,9,0
UNLAWFUL POSSESSION FIREARM - HABITUAL 269/10(a),1,0
UNLICENSED OPERATION OF MOTOR VEHICLE c. 90 s. 10a,0,22
UNLICENSED OPERATION OF MV c90 §10,3179,12148
"UNLICENSED OPERATOR, EMPLOY",3,0
"UNLICENSED/SUSPENDED OPERATION OF M/V, PERMIT",205,0
"UNLICENSED/SUSPENDED OPERATION OF MV, PERMIT c90 §12",0,277
"UNLICENSED/SUSPENDED OPERATION OF MV, PERMIT, SUBSQ. OFF c90 §12",0,4
UNNATURAL ACT WITH CHILD -16 c272 §35A,63,2
UNNATURAL ACT c272 §35,4,2
UNREGISTERED MOTOR VEHICLE * c90 §9,1496,3649
UNSAFE OPERATION OF MV * c90 §13,72,210
USE MV WITHOUT AUTHORITY c90 §24(2)(a),208,1010
"USE MV WITHOUT AUTHORITY, 2ND OFF. c90 §24(2)(a)",2,25
"USE MV WITHOUT AUTHORITY, 3RD OFF. c90 §24(2)(a)",1,3
USE OF A FIREARM WHILE COMMITTING A FELONY,0,227
USURY c271 §49(a) or (b),0,14
UTTER COUNTERFEIT NOTE c267 §10,58,154
UTTER FALSE CHECK c267 §5,416,1155
UTTER FALSE ORDER FOR MONEY c267 §5,4,21
UTTER FALSE TRAVELLERS CHECK c267 §10,5,0
UTTER FALSE TRAVELLER¿S CHECK c267 §10,0,2
UTTER FALSE WRITING c267 §5,22,342
UTTER PROMISSORY NOTE FALSELY ENDORSED c267 §5,6,4
UTTER WORTHLESS/FALSE NOTE c267 §28,3,13
UTTERING (Common Law),0,18
VANDALIZE PROPERTY c266 §126A,567,402
VEHICLE ID NUMBER NOT DISPLAYED * c90 §7R,2,1
VIOLATE HARASSMENT PREVENTION ORDER,196,0
"VOTE UNLAWFULLY, ATTEMPT TO c56 §26",0,1
"WATER SKIS/SURFBOARD, NEGLIGENT USE OF c90B §8(b)",0,4
"WATERS, POLLUTE COMMONWEALTH c21 §42",2,0
WEIGHT VIOLATION * c90 §19A & §20,1,0
WEIGHT VIOLATION ON BRIDGE * c85 §34,3,0
"WETLANDS VIOLATION, COASTAL/TIDAL c131 §40",10,0
"WILL, STEAL/DESTROY/CONCEAL c266 §39",0,3
WINDOW OBSTRUCTED/NONTRANSPARENT * c90 §9D,36,394
"WIRETAP, DISCLOSE CONTENTS OF c272 §99(C)(3) or (4)",2,0
"WIRETAP, POSSESS DEVICE FOR c272 §99(C)(5)",3,3
"WIRETAP, UNLAWFUL c272 §99(C)(1)",11,19
"WIRETAP, UNLAWFUL, ATTEMPT c272 §99(C)(1)",1,1
WITHHOLD EVIDENCE FROM CRIMINAL PROCEEDING,24,0
"WITNESS, EMPLOYER PENALIZE/THREATEN c258B §3(l)",0,3
"WITNESS, INTIMIDATE c268 §13B",947,2654
"WITNESS, INTIMIDATE c268 §13B-HABITUAL",2,0
"WITNESS, RETALIATE AGAINST c268 §13B",0,1
"WITNESS/JUROR/POLICE/COURT OFF, INTIMIDATE AGGRAVATED c268 §13B",0,4
"WITNESS/JUROR/POLICE/COURT OFF, INTIMIDATE c268 §13B",0,99
"WITNESS/JUROR/POLICE/COURT OFFICIAL, INTIMIDATE AGGRAVATED c268 §13B",2,0
WORKERS COMP FRAUD c152 §14,0,3
"WORKERS COMP, EMPLOYER FAIL HAVE c152 §25C",2,2
"Wantonly or Recklessly Permitting A&B on Child under 14 Causing Bodily Injury, c265,s13J(c)",2,0
"YIELD AT INTERSECTION, FAIL * c89 §8",84,248
