"","Charge","NW.Counts","SF.Counts","Description","Chapter","Section","Expungeable.","alphcharge"
"148","BUS DRIVER, INTERFERE WITH c159A §31",0,38,"BUS DRIVER, INTERFERE WITH","159A","31","Yes","BUSDRIVERINTERFEREWITHc159A31"
"149","COMMERCIAL MV FAIL STOP FOR POLICE c159B §14B",0,1,"COMMERCIAL MV FAIL STOP FOR POLICE","159B","14B","Yes","COMMERCIALMVFAILSTOPFORPOLICEc159B14B"
"150","SYNTHETIC CANNABINOID, POSSESSION OR SALE OF c16 §59.3",0,1,"SYNTHETIC CANNABINOID, POSSESSION OR SALE OF","16","59.3","Yes","SYNTHETICCANNABINOIDPOSSESSIONORSALEOFc16593"
"151","RAILROAD OBSTRUCT PUBLIC WAY c160 §151",0,1,"RAILROAD OBSTRUCT PUBLIC WAY","160","151","Yes","RAILROADOBSTRUCTPUBLICWAYc160151"
"152","RAILROAD TRACK, WALK/RIDE ON c160 §218",52,47,"RAILROAD TRACK, WALK/RIDE ON","160","218","Yes","RAILROADTRACKWALKRIDEONc160218"
"153","RAILROAD STATION, LOITER IN c160 §219",0,7,"RAILROAD STATION, LOITER IN","160","219","Yes","RAILROADSTATIONLOITERINc160219"
"154","RAILROAD FARE, EVADE c160 §220",1,0,"RAILROAD FARE, EVADE","160","220","Yes","RAILROADFAREEVADEc160220"
"155","RAILROAD, MALICIOUS INJURY TO c160 §225",1,0,"RAILROAD, MALICIOUS INJURY TO","160","225","Yes","RAILROADMALICIOUSINJURYTOc160225"
"156","RAILROAD, OBSTRUCT/ENDANGER c160 §226",1,2,"RAILROAD, OBSTRUCT/ENDANGER","160","226","Yes","RAILROADOBSTRUCTENDANGERc160226"
"157","STREETCAR, OBSTRUCT c161 §94",0,1,"STREETCAR, OBSTRUCT","161","94","Yes","STREETCAROBSTRUCTc16194"
"158","RAILROAD/RAILWAY STATION, LITTER IN c161 §94A",0,1,"RAILROAD/RAILWAY STATION, LITTER IN","161","94A","Yes","RAILROADRAILWAYSTATIONLITTERINc16194A"
"159","RAILROAD/RAILWAY STATION, LOITER IN c161 §95",0,6,"RAILROAD/RAILWAY STATION, LOITER IN","161","95","Yes","RAILROADRAILWAYSTATIONLOITERINc16195"
"160","MBTA, POSSESS LIQUOR TO CONSUME ON c161A §5",0,23,"MBTA, POSSESS LIQUOR TO CONSUME ON","161A","5","Yes","MBTAPOSSESSLIQUORTOCONSUMEONc161A5"
"161","RAILROAD TRACK, WALK/STAND ON ELECTRIC c162 §18",1,3,"RAILROAD TRACK, WALK/STAND ON ELECTRIC","162","18","Yes","RAILROADTRACKWALKSTANDONELECTRICc16218"
"162","GAS, FRAUDULENT USE OF c164 §126",0,2,"GAS, FRAUDULENT USE OF","164","126","Yes","GASFRAUDULENTUSEOFc164126"
"163","ELECTRICITY, FRAUDULENT USE OF c164 §127",1,4,"ELECTRICITY, FRAUDULENT USE OF","164","127","Yes","ELECTRICITYFRAUDULENTUSEOFc164127"
"164","TELEPHONE SERVICE BY FRAUD -$5000,OBTAIN c166 §42A",0,2,"TELEPHONE SERVICE BY FRAUD -$5000,OBTAIN","166","42A","Yes","TELEPHONESERVICEBYFRAUD5000OBTAINc16642A"
"165","CABLE TV SERVICE BY FRAUD -$5000, OBTAIN c166 §42A",0,2,"CABLE TV SERVICE BY FRAUD -$5000, OBTAIN","166","42A","Yes","CABLETVSERVICEBYFRAUD5000OBTAINc16642A"
"166","TELEPHONE SERVICE BY FRAUD -$5000, ATT c166 §42A",0,1,"TELEPHONE SERVICE BY FRAUD -$5000, ATT","166","42A","Yes","TELEPHONESERVICEBYFRAUD5000ATTc16642A"
"167","BANK HOLDING COMPANY RECORD, FALSE c167A §6",0,1,"BANK HOLDING COMPANY RECORD, FALSE","167A","6","Yes","BANKHOLDINGCOMPANYRECORDFALSEc167A6"
"168","ELECTRONIC FUND TRANSFER VIOL UNDER $100 c167B §21(b)",1,0,"ELECTRONIC FUND TRANSFER VIOL UNDER $100","167B","21(b)","Yes","ELECTRONICFUNDTRANSFERVIOLUNDER100c167B21b"
"169","INSURANCE CLAIM, FALSE LIFE c175 §127",2,0,"INSURANCE CLAIM, FALSE LIFE","175","127","Yes","INSURANCECLAIMFALSELIFEc175127"
"170","INSURANCE VIOLATION c175 §194",0,1,"INSURANCE VIOLATION","175","194","Yes","INSURANCEVIOLATIONc175194"
"171","HEALTH CARE CLAIM, FALSE c175H §2",10,34,"HEALTH CARE CLAIM, FALSE","175H","2","Yes","HEALTHCARECLAIMFALSEc175H2"
"172","INSURANCE INFO, GET ON FALSE PRETENSES c175I §22",0,1,"INSURANCE INFO, GET ON FALSE PRETENSES","175I","22","Yes","INSURANCEINFOGETONFALSEPRETENSESc175I22"
"173","PUBLIC ASSISTANCE FRAUD c18 §5B",3,60,"PUBLIC ASSISTANCE FRAUD","18","5B","Yes","PUBLICASSISTANCEFRAUDc185B"
"174","PUBLIC ASSISTANCE FRAUD c. 18 s. 5B",0,5,"PUBLIC ASSISTANCE FRAUD","18","5B","Yes","PUBLICASSISTANCEFRAUDc18s5B"
"175","LANDLORD INTERFERE WITH QUIET ENJOYMENT c186 §14",1,1,"LANDLORD INTERFERE WITH QUIET ENJOYMENT","186","14","Yes","LANDLORDINTERFEREWITHQUIETENJOYMENTc18614"
"176","LANDLORD ATTMPT REGAIN PREMISES BY FORCE c186 §14",1,0,"LANDLORD ATTMPT REGAIN PREMISES BY FORCE","186","14","Yes","LANDLORDATTMPTREGAINPREMISESBYFORCEc18614"
"177","ELDER ABUSE, FAIL REPORT c19A §15(a)",0,1,"ELDER ABUSE, FAIL REPORT","19A","15(a)","Yes","ELDERABUSEFAILREPORTc19A15a"
"178","ABUSE PREVENTION ORDER, VIOL PROBATE CT c208 §34C",0,4,"ABUSE PREVENTION ORDER, VIOL PROBATE CT","208","34C","No","ABUSEPREVENTIONORDERVIOLPROBATECTc20834C"
"179","DIVORCE, ISSUE UNLAWFUL CERTIFICATE OF c208 §44",0,1,"DIVORCE, ISSUE UNLAWFUL CERTIFICATE OF","208","44","Yes","DIVORCEISSUEUNLAWFULCERTIFICATEOFc20844"
"180","ABUSE PREVENTION ORDER, VIOLATE c. 209A s. 3B",0,32,"ABUSE PREVENTION ORDER, VIOLATE","209A","3B","No","ABUSEPREVENTIONORDERVIOLATEc209As3B"
"181","FIREARM SURRENDER ORDER, VIOLATE c209A §3C",2,2,"FIREARM SURRENDER ORDER, VIOLATE","209A","3C","No","FIREARMSURRENDERORDERVIOLATEc209A3C"
"182","FIREARM SURRENDER ORDER, VIOLATE c. 209A s. 3C",0,1,"FIREARM SURRENDER ORDER, VIOLATE","209A","3C","No","FIREARMSURRENDERORDERVIOLATEc209As3C"
"183","ABUSE PREVENTION ORDER, VIOLATE c209A §7",1267,3770,"ABUSE PREVENTION ORDER, VIOLATE","209A","7","No","ABUSEPREVENTIONORDERVIOLATEc209A7"
"184","ABUSE PREVENTION ORDER, VIOLATE c. 209A s. 7",0,17,"ABUSE PREVENTION ORDER, VIOLATE","209A","7","No","ABUSEPREVENTIONORDERVIOLATEc209As7"
"185","ABUSE PREVENTION ORDER VIOL, RETALIATORY c209A §7",0,13,"ABUSE PREVENTION ORDER VIOL, RETALIATORY","209A","7","No","ABUSEPREVENTIONORDERVIOLRETALIATORYc209A7"
"186","ABUSE PREVENTION ORDER, VIOLATE, RETALIATION FOR NON-SUPPORT c. 209A s. 7",0,12,"ABUSE PREVENTION ORDER, VIOLATE, RETALIATION FOR NON-SUPPORT","209A","7","No","ABUSEPREVENTIONORDERVIOLATERETALIATIONFORNONSUPPORTc209As7"
"187","WATERS, POLLUTE COMMONWEALTH c21 §42",2,0,"WATERS, POLLUTE COMMONWEALTH","21","42","Yes","WATERSPOLLUTECOMMONWEALTHc2142"
"188","BOSTON MUNIC CT CLERK FAIL PAY ACCOUNTS c218 §56",0,1,"BOSTON MUNIC CT CLERK FAIL PAY ACCOUNTS","218","56","Yes","BOSTONMUNICCTCLERKFAILPAYACCOUNTSc21856"
"189","LAW, UNAUTHORIZED PRACTICE OF c221 §41",0,8,"LAW, UNAUTHORIZED PRACTICE OF","221","41","Yes","LAWUNAUTHORIZEDPRACTICEOFc22141"
"190","LAW, REMOVED ATTORNEY PRACTICE c221 §41",0,1,"LAW, REMOVED ATTORNEY PRACTICE","221","41","Yes","LAWREMOVEDATTORNEYPRACTICEc22141"
"191","DNA DATABASE SAMPLE, REFUSE PROVIDE c22E §11",169,515,"DNA DATABASE SAMPLE, REFUSE PROVIDE","22E","11","Yes","DNADATABASESAMPLEREFUSEPROVIDEc22E11"
"192","DNA SAMPLE, REFUSE TO PROVIDE c. 22E s. 11",0,10,"DNA SAMPLE, REFUSE TO PROVIDE","22E","11","Yes","DNASAMPLEREFUSETOPROVIDEc22Es11"
"193","JUROR FAIL TO ATTEND c234A §42",370,1363,"JUROR FAIL TO ATTEND","234A","42","Yes","JURORFAILTOATTENDc234A42"
"194","JUROR PROCESSING, FRAUD IN c234A §71",1,0,"JUROR PROCESSING, FRAUD IN","234A","71","Yes","JURORPROCESSINGFRAUDINc234A71"
"195","MORTGAGE BROKER OR LENDER LICENSE REQUIREMENT; VIOLATION c. 255E s. 2",0,1,"MORTGAGE BROKER OR LENDER LICENSE REQUIREMENT; VIOLATION","255E","2","Yes","MORTGAGEBROKERORLENDERLICENSEREQUIREMENTVIOLATIONc255Es2"
"196","HARASSMENT PREVENTION ORDER, VIOLATE c258 §9",0,484,"HARASSMENT PREVENTION ORDER, VIOLATE","258","9","Yes","HARASSMENTPREVENTIONORDERVIOLATEc2589"
"197","WITNESS, EMPLOYER PENALIZE/THREATEN c258B §3(l)",0,3,"WITNESS, EMPLOYER PENALIZE/THREATEN","258B","3(l)","Yes","WITNESSEMPLOYERPENALIZETHREATENc258B3l"
"198","Harassment Prevention Order, Violate, c258E/9",45,0,"HARASSMENT PREVENTION ORDER, VIOLATE,","258E","9","No","HarassmentPreventionOrderViolatec258E9"
"199","RIOT, INCITE c264 §11",5,2,"RIOT, INCITE","264","11","Yes","RIOTINCITEc26411"
"200","KIDNAPPING FOR EXTORTION c265 §09",0,3,"KIDNAPPING FOR EXTORTION","265","09","No","KIDNAPPINGFOREXTORTIONc26509"
"201","MURDER c265 §1",10,345,"MURDER","265","1","No","MURDERc2651"
"202","MURDER c. 265 s. 1",0,9,"MURDER","265","1","No","MURDERc265s1"
"203","MANSLAUGHTER c265 §13",12,36,"MANSLAUGHTER","265","13","No","MANSLAUGHTERc26513"
"204","INVOLUNTARY MANSLAUGHTER c265§13",5,0,"INVOLUNTARY MANSLAUGHTER","265","13","No","INVOLUNTARYMANSLAUGHTERc26513"
"205","MANSLAUGHTER INVOLVING EXPLOSIVES c265 §13",0,7,"MANSLAUGHTER INVOLVING EXPLOSIVES","265","13","No","MANSLAUGHTERINVOLVINGEXPLOSIVESc26513"
"206","MANSLAUGHTER c. 265 s. 13",0,1,"MANSLAUGHTER","265","13","No","MANSLAUGHTERc265s13"
"207","INVOLUNTARY MANSLAUGHTER BY MOTOR VEHICLE c265 §13 1/2",1,0,"INVOLUNTARY MANSLAUGHTER BY MOTOR VEHICLE","265","13 1/2","No","INVOLUNTARYMANSLAUGHTERBYMOTORVEHICLEc2651312"
"208","A&B c265 §13A",2015,14443,"A&B","265","13A","No","ABc26513A"
"209","A&B (DOMESTIC) c265 §13A",599,0,"A&B (DOMESTIC)","265","13A","No","ABDOMESTICc26513A"
"210","ASSAULT c265 §13A",277,966,"ASSAULT","265","13A","No","ASSAULTc26513A"
"211","A&B c. 265 s. 13A",0,24,"A&B","265","13A","No","ABc265s13A"
"212","ASSAULT c. 265 s. 13A",0,9,"ASSAULT","265","13A","No","ASSAULTc265s13A"
"213","A&B, VIOL ABUSE PREVENTION ORDER c265 S 13A(B)",30,0,"A&B, VIOL ABUSE PREVENTION ORDER","265","13A(B)","No","ABVIOLABUSEPREVENTIONORDERc265S13AB"
"214","A&B, AGGRAVATED c265 §13A(b)",0,560,"A&B, AGGRAVATED","265","13A(b)","No","ABAGGRAVATEDc26513Ab"
"215","A&B UPON PREGNANT PERSON c265 §13A(b)",0,441,"A&B UPON PREGNANT PERSON","265","13A(b)","No","ABUPONPREGNANTPERSONc26513Ab"
"216","A&B,CAUSING SERIOUS BODILY INJURY c265 §13A(b)",0,98,"A&B,CAUSING SERIOUS BODILY INJURY","265","13A(b)","No","ABCAUSINGSERIOUSBODILYINJURYc26513Ab"
"217","A&B IN VIOLATION OF RESTRAINING ORDER c265 §13A(b)",0,35,"A&B IN VIOLATION OF RESTRAINING ORDER","265","13A(b)","No","ABINVIOLATIONOFRESTRAININGORDERc26513Ab"
"218","ASSAULT, VIOL ABUSE PREVENTION ORDER c265 §13A(b)",0,3,"ASSAULT, VIOL ABUSE PREVENTION ORDER","265","13A(b)","No","ASSAULTVIOLABUSEPREVENTIONORDERc26513Ab"
"219","INDECENT A&B ON CHILD UNDER 14 c265 §13B",258,784,"INDECENT A&B ON CHILD UNDER 14","265","13B","No","INDECENTABONCHILDUNDER14c26513B"
"220","INDECENT A&B ON CHILD UNDER 14, SUBSQ. c265 §13B",0,13,"INDECENT A&B ON CHILD UNDER 14, SUBSQ.","265","13B","No","INDECENTABONCHILDUNDER14SUBSQc26513B"
"221","INDECENT A&B ON CHILD UNDER 14 AFTER CERTAIN OFFENSES c265 §13B",0,4,"INDECENT A&B ON CHILD UNDER 14 AFTER CERTAIN OFFENSES","265","13B","No","INDECENTABONCHILDUNDER14AFTERCERTAINOFFENSESc26513B"
"222","INDECENT A&B ON CHILD UNDER 14 AFTER CERTAIN OFFENSES c265 §13B1/2",1,0,"INDECENT A&B ON CHILD UNDER 14 AFTER CERTAIN OFFENSES","265","13B1/2","No","INDECENTABONCHILDUNDER14AFTERCERTAINOFFENSESc26513B12"
"223","A&B TO COLLECT LOAN c265 §13C",9,30,"A&B TO COLLECT LOAN","265","13C","No","ABTOCOLLECTLOANc26513C"
"224","A&B TO COLLECT LOAN, SUBSQ.OFF. c265 §13C",0,1,"A&B TO COLLECT LOAN, SUBSQ.OFF.","265","13C","No","ABTOCOLLECTLOANSUBSQOFFc26513C"
"225","A&B ON POLICE OFFICER c265 §13D",501,3444,"A&B ON POLICE OFFICER","265","13D","Yes","ABONPOLICEOFFICERc26513D"
"226","A&B ON PUBLIC EMPLOYEE c265 §13D",28,787,"A&B ON PUBLIC EMPLOYEE","265","13D","Yes","ABONPUBLICEMPLOYEEc26513D"
"227","A&B ON PUBLIC EMPLOYEE, SERIOUS BODILY INJURY c265 §13D",1,0,"A&B ON PUBLIC EMPLOYEE, SERIOUS BODILY INJURY","265","13D","Yes","ABONPUBLICEMPLOYEESERIOUSBODILYINJURYc26513D"
"228","A&B ATTEMPT TO DISARM POLICE OFFICER c265 §13D",0,3,"A&B ATTEMPT TO DISARM POLICE OFFICER","265","13D","Yes","ABATTEMPTTODISARMPOLICEOFFICERc26513D"
"229","A&B ON POLICE OFFICER, SERIOUS BODILY INJURY c265 §13D",0,1,"A&B ON POLICE OFFICER, SERIOUS BODILY INJURY","265","13D","Yes","ABONPOLICEOFFICERSERIOUSBODILYINJURYc26513D"
"230","A&B ON PUBLIC EMPLOYEE c. 265 s. 13D",0,1,"A&B ON PUBLIC EMPLOYEE","265","13D","Yes","ABONPUBLICEMPLOYEEc265s13D"
"231","FIREFIGHTER, INJURE c265 §13D½",0,9,"FIREFIGHTER, INJURE","265","13D½","No","FIREFIGHTERINJUREc26513D"
"232","INDECENT A&B ON A PERSON WITH AN INTELLECTUAL DISABILITY  c265 §13F",12,0,"INDECENT A&B ON A PERSON WITH AN INTELLECTUAL DISABILITY ","265","13F","No","INDECENTABONAPERSONWITHANINTELLECTUALDISABILITYc26513F"
"233","A&B ON A PERSON WITH AN INTELLECTUAL DISABILITY c265 §13F",5,0,"A&B ON A PERSON WITH AN INTELLECTUAL DISABILITY","265","13F","No","ABONAPERSONWITHANINTELLECTUALDISABILITYc26513F"
"234","A&B ON RETARDED PERSON c265 §13F",0,33,"A&B ON RETARDED PERSON","265","13F","No","ABONRETARDEDPERSONc26513F"
"235","INDECENT A&B ON RETARDED PERSON c265 §13F",0,21,"INDECENT A&B ON RETARDED PERSON","265","13F","No","INDECENTABONRETARDEDPERSONc26513F"
"236","INDECENT A&B ON PERSON 14 OR OVER c265 §13H",167,890,"INDECENT A&B ON PERSON 14 OR OVER","265","13H","No","INDECENTABONPERSON14OROVERc26513H"
"237","INDECENT A&B ON PERSON 14 OR OVER AFTER CERTAIN OFFENSES  c265 §13H",2,0,"INDECENT A&B ON PERSON 14 OR OVER AFTER CERTAIN OFFENSES ","265","13H","No","INDECENTABONPERSON14OROVERAFTERCERTAINOFFENSESc26513H"
"238","INDECENT A&B DISABLED OR PERSON>60, c265s13H",1,0,"INDECENT A&B DISABLED OR PERSON>60,","265","13H","No","INDECENTABDISABLEDORPERSON60c265s13H"
"239","INDECENT A&B ON PERSON 14 OR OVER AFTER CERTAIN OFFENSES c265 §13H",0,5,"INDECENT A&B ON PERSON 14 OR OVER AFTER CERTAIN OFFENSES","265","13H","No","INDECENTABONPERSON14OROVERAFTERCERTAINOFFENSESc26513H"
"240","INDECENT A&B ON PERSON 14 OR OVER c. 265 s. 13H",0,1,"INDECENT A&B ON PERSON 14 OR OVER","265","13H","No","INDECENTABONPERSON14OROVERc265s13H"
"241","INDECENT A&B ON DISABLED PERSON OVER 60 c265 §13H/C",0,11,"INDECENT A&B ON DISABLED PERSON OVER 60","265","13H/C","No","INDECENTABONDISABLEDPERSONOVER60c26513HC"
"242","A&B ON AMBULANCE PERSONNEL c265 §13I",30,159,"A&B ON AMBULANCE PERSONNEL","265","13I","Yes","ABONAMBULANCEPERSONNELc26513I"
"243","ASSAULT ON AMBULANCE PERSONNEL c265 §13I",1,93,"ASSAULT ON AMBULANCE PERSONNEL","265","13I","Yes","ASSAULTONAMBULANCEPERSONNELc26513I"
"244","A&B/ASSAULT ON AMBULANCE PERSONNEL c. 265 s. 13I",0,1,"A&B/ASSAULT ON AMBULANCE PERSONNEL","265","13I","Yes","ABASSAULTONAMBULANCEPERSONNELc265s13I"
"245","A&B ON CHILD WITH INJURY c265 §13J(b)",18,129,"A&B ON CHILD WITH INJURY","265","13J(b)","No","ABONCHILDWITHINJURYc26513Jb"
"246","A&B ON CHILD WITH SUBSTANTIAL INJURY c265 §13J(b)",13,17,"A&B ON CHILD WITH SUBSTANTIAL INJURY","265","13J(b)","No","ABONCHILDWITHSUBSTANTIALINJURYc26513Jb"
"247","CHILD, PERMIT SUBSTANTIAL INJURY TO c265 §13J(b)",4,0,"CHILD, PERMIT SUBSTANTIAL INJURY TO","265","13J(b)","No","CHILDPERMITSUBSTANTIALINJURYTOc26513Jb"
"248","CHILD, PERMIT INJURY TO c265 §13J(b)",4,4,"CHILD, PERMIT INJURY TO","265","13J(b)","No","CHILDPERMITINJURYTOc26513Jb"
"249","A&B ON +60/DISABLED  c265 §13K(a1/2)",19,0,"A&B ON +60/DISABLED ","265","13K(a1/2)","","ABON60DISABLEDc26513Ka12"
"250","A&B ON +60/DISABLED WITH INJURY c265 §13K(b)",71,378,"A&B ON +60/DISABLED WITH INJURY","265","13K(b)","No","ABON60DISABLEDWITHINJURYc26513Kb"
"251","A&B ON ELDER (60+)/DISABLED PERSON; BODILY INJURY c. 265 s. 13K(b)",0,1,"A&B ON ELDER (60+)/DISABLED PERSON; BODILY INJURY","265","13K(b)","No","ABONELDER60DISABLEDPERSONBODILYINJURYc265s13Kb"
"252","A&B ON +60/DISABLED WITH SERIOUS INJURY c265 §13K(c)",4,75,"A&B ON +60/DISABLED WITH SERIOUS INJURY","265","13K(c)","No","ABON60DISABLEDWITHSERIOUSINJURYc26513Kc"
"253","ELDER/DISABLED, PERMIT INJURY TO c265 §13K(d)",1,23,"ELDER/DISABLED, PERMIT INJURY TO","265","13K(d)","No","ELDERDISABLEDPERMITINJURYTOc26513Kd"
"254","ELDER/DISABLED, PERMIT SERIOUS INJURY TO c265 §13K(e)",0,5,"ELDER/DISABLED, PERMIT SERIOUS INJURY TO","265","13K(e)","No","ELDERDISABLEDPERMITSERIOUSINJURYTOc26513Ke"
"255","A&B ON +60/DISABLED c265 §13K/F",0,458,"A&B ON +60/DISABLED","265","13K/F","No","ABON60DISABLEDc26513KF"
"256","RECKLESS ENDANGERMENT OF CHILD c265 §13L",0,198,"RECKLESS ENDANGERMENT OF CHILD","265","13L","Yes","RECKLESSENDANGERMENTOFCHILDc26513L"
"257","ENDANGERMENT TO CHILDREN, RECKLESS c. 265 s. 13L",0,3,"ENDANGERMENT TO CHILDREN, RECKLESS","265","13L","Yes","ENDANGERMENTTOCHILDRENRECKLESSc265s13L"
"258","A&B ON FAMILY/HOUSEHOLD MEMBER c265 §13M",0,8430,"A&B ON FAMILY/HOUSEHOLD MEMBER","265","13M","No","ABONFAMILYHOUSEHOLDMEMBERc26513M"
"259","Assault & Battery on  Family/Household Member  c265  §13M(a)",2099,0,"ASSAULT & BATTERY ON  FAMILY/HOUSEHOLD MEMBER ","265","13M(a)","","AssaultBatteryonFamilyHouseholdMemberc26513Ma"
"260","Assault on Family/Household Member  c265  §13M(a)",145,0,"ASSAULT ON FAMILY/HOUSEHOLD MEMBER ","265","13M(a)","","AssaultonFamilyHouseholdMemberc26513Ma"
"261","Assault & Battery on Family/Household Member Subsequent,  c265  §13M(b)",41,0,"ASSAULT & BATTERY ON FAMILY/HOUSEHOLD MEMBER SUBSEQUENT, ","265","13M(b)","","AssaultBatteryonFamilyHouseholdMemberSubsequentc26513Mb"
"262","Assault on Family/Household Member, Subsequent,  c265  §13M(b)",6,0,"ASSAULT ON FAMILY/HOUSEHOLD MEMBER, SUBSEQUENT, ","265","13M(b)","","AssaultonFamilyHouseholdMemberSubsequentc26513Mb"
"263","ASSAULT ON FAMILY/HOUSEHOLD MEMBER c265 §13M(b)",0,57,"ASSAULT ON FAMILY/HOUSEHOLD MEMBER","265","13M(b)","No","ASSAULTONFAMILYHOUSEHOLDMEMBERc26513Mb"
"264","ASSAULT ON FAMILY/HOUSEHOLD MEMBER, SUBSQ.OFF c265 §13M(b)",0,28,"ASSAULT ON FAMILY/HOUSEHOLD MEMBER, SUBSQ.OFF","265","13M(b)","No","ASSAULTONFAMILYHOUSEHOLDMEMBERSUBSQOFFc26513Mb"
"265","MAYHEM c265 §14",16,140,"MAYHEM","265","14","No","MAYHEMc26514"
"266","ASSAULT TO MAIM c265 §14",3,11,"ASSAULT TO MAIM","265","14","No","ASSAULTTOMAIMc26514"
"267","ASSAULT TO MURDER c265 §15",18,201,"ASSAULT TO MURDER","265","15","No","ASSAULTTOMURDERc26515"
"268","ASSAULT TO MAIM c265 §15",0,16,"ASSAULT TO MAIM","265","15","No","ASSAULTTOMAIMc26515"
"269","ASSAULT TO MURDER OR MAIM c. 265 s. 15",0,1,"ASSAULT TO MURDER OR MAIM","265","15","No","ASSAULTTOMURDERORMAIMc265s15"
"270","A&B WITH DANGEROUS WEAPON +60 c265 §15A(a)",40,315,"A&B WITH DANGEROUS WEAPON +60","265","15A(a)","No","ABWITHDANGEROUSWEAPON60c26515Aa"
"271","A&B WITH DANGEROUS WEAPON +65 c265 §15A(a)",1,0,"A&B WITH DANGEROUS WEAPON +65","265","15A(a)","No","ABWITHDANGEROUSWEAPON65c26515Aa"
"272","A&B WITH DANGEROUS WEAPON +60, SUBSQ.OFF c265 §15A(a)",0,2,"A&B WITH DANGEROUS WEAPON +60, SUBSQ.OFF","265","15A(a)","No","ABWITHDANGEROUSWEAPON60SUBSQOFFc26515Aa"
"273","A&B WITH DANGEROUS WEAPON +60, SUBSQ.OFF c. 265 s. 15A(a)",0,1,"A&B WITH DANGEROUS WEAPON +60, SUBSQ.OFF","265","15A(a)","No","ABWITHDANGEROUSWEAPON60SUBSQOFFc265s15Aa"
"274","A&B WITH DANGEROUS WEAPON  c265 §15A(b)",980,0,"A&B WITH DANGEROUS WEAPON ","265","15A(b)","No","ABWITHDANGEROUSWEAPONc26515Ab"
"275","A&B WITH DANGEROUS WEAPON c265 §15A(b)",0,9294,"A&B WITH DANGEROUS WEAPON","265","15A(b)","No","ABWITHDANGEROUSWEAPONc26515Ab"
"276","A&B WITH DANGEROUS WEAPON c. 265 s. 15A(b)",0,2,"A&B WITH DANGEROUS WEAPON","265","15A(b)","No","ABWITHDANGEROUSWEAPONc265s15Ab"
"277","A&B WITH DANGEROUS WEAPON CAUSING SERIOUS BODILY INJURY c265 §15A(c)",0,296,"A&B WITH DANGEROUS WEAPON CAUSING SERIOUS BODILY INJURY","265","15A(c)","No","ABWITHDANGEROUSWEAPONCAUSINGSERIOUSBODILYINJURYc26515Ac"
"278","A&B WITH DANGEROUS WEAPON UPON PREGNANT PERSON c265 §15A(c)",0,57,"A&B WITH DANGEROUS WEAPON UPON PREGNANT PERSON","265","15A(c)","No","ABWITHDANGEROUSWEAPONUPONPREGNANTPERSONc26515Ac"
"279","A&B WITH DANGEROUS WEAPON IN VIOLATION OF RESTRAINING ORDER c265 §15A(c)",0,5,"A&B WITH DANGEROUS WEAPON IN VIOLATION OF RESTRAINING ORDER","265","15A(c)","No","ABWITHDANGEROUSWEAPONINVIOLATIONOFRESTRAININGORDERc26515Ac"
"280","A&B WITH DANGEROUS WEAPON, VIOL OF ORDER c265 §15A(c)(iii)",1,0,"A&B WITH DANGEROUS WEAPON, VIOL OF ORDER","265","15A(c)(iii)","No","ABWITHDANGEROUSWEAPONVIOLOFORDERc26515Aciii"
"281","A&B WITH DANGEROUS WEAPON, CHILD UNDER 14 c265 §15A(c)(iv)",0,33,"A&B WITH DANGEROUS WEAPON, CHILD UNDER 14","265","15A(c)(iv)","No","ABWITHDANGEROUSWEAPONCHILDUNDER14c26515Aciv"
"282","A&B WITH DANGEROUS WEAPON, CHILD UNDER 14 c265 §15A(iv)",2,0,"A&B WITH DANGEROUS WEAPON, CHILD UNDER 14","265","15A(iv)","No","ABWITHDANGEROUSWEAPONCHILDUNDER14c26515Aiv"
"283","ASSAULT W/DANGEROUS WEAPON +60 c265 §15B(a)",33,100,"ASSAULT W/DANGEROUS WEAPON +60","265","15B(a)","No","ASSAULTWDANGEROUSWEAPON60c26515Ba"
"284","ASSAULT W/DANGEROUS WEAPON +60, SUBSQ. c265 §15B(a)",0,1,"ASSAULT W/DANGEROUS WEAPON +60, SUBSQ.","265","15B(a)","No","ASSAULTWDANGEROUSWEAPON60SUBSQc26515Ba"
"285","ASSAULT W/DANGEROUS WEAPON +60 c. 265 s. 15B(a)",0,1,"ASSAULT W/DANGEROUS WEAPON +60","265","15B(a)","No","ASSAULTWDANGEROUSWEAPON60c265s15Ba"
"286","ASSAULT W/DANGEROUS WEAPON c265 §15B(b)",716,5847,"ASSAULT W/DANGEROUS WEAPON","265","15B(b)","No","ASSAULTWDANGEROUSWEAPONc26515Bb"
"287","ASSAULT W/DANGEROUS WEAPON c. 265 s. 15B(b)",0,3,"ASSAULT W/DANGEROUS WEAPON","265","15B(b)","No","ASSAULTWDANGEROUSWEAPONc265s15Bb"
"288","ASSAULT W/HYPODERMIC NEEDLE, SYRINGE c265§15C(a)",1,0,"ASSAULT W/HYPODERMIC NEEDLE, SYRINGE","265","15C(a)","No","ASSAULTWHYPODERMICNEEDLESYRINGEc26515Ca"
"289","ASSAULT WITH HYPODERMIC c265 §15C/A",0,17,"ASSAULT WITH HYPODERMIC","265","15C/A","No","ASSAULTWITHHYPODERMICc26515CA"
"290","STRANGULATION OR SUFFOCATION c265 §15D(a)",0,1358,"STRANGULATION OR SUFFOCATION","265","15D(a)","No","STRANGULATIONORSUFFOCATIONc26515Da"
