"","Charge","NW.Counts","SF.Counts","Description","Chapter","Section","Expungeable.","sex","murder","extra_criteria"
"179","INSPECTION/STICKER, NO * c90 §20",1738,1874,"INSPECTION/STICKER, NO *","90","20","Yes",0,0,NA
"180","PARKING TICKETS, +5 UNPAID c90 §20C",1,0,"PARKING TICKETS, +5 UNPAID","90","20C","Yes",0,0,NA
"181","PARKING TICKET, MUTILATE c90 §20D",0,1,"PARKING TICKET, MUTILATE","90","20D","Yes",0,0,NA
"182","SNOW/REC VEHUNREGISTERED * c90B §21",1,0,"SNOW/REC VEHUNREGISTERED *","90B","21","",0,0,NA
"183","SNOW/REC VEH¿UNREGISTERED * c90B §21",0,2,"SNOW/REC VEH¿UNREGISTERED *","90B","21","Yes",0,0,NA
"184","ABANDON MV c90 §22B(a)",8,22,"ABANDON MV","90","22B(a)","Yes",0,0,NA
"185","SNOW/REC VEHREGISTRATION, FL PRODUCE * c90B §22",14,0,"SNOW/REC VEHREGISTRATION, FL PRODUCE *","90B","22","",0,0,NA
"186","SNOW/REC VEH¿REGISTRATION, FL PRODUCE * c90B §22",0,23,"SNOW/REC VEH¿REGISTRATION, FL PRODUCE *","90B","22","Yes",0,0,NA
"187","SNOW/REC VEH¿ADDRESS CHANGE, FAIL REPORT * c90B §22",0,1,"SNOW/REC VEH¿ADDRESS CHANGE, FAIL REPORT *","90B","22","Yes",0,0,NA
"188","LICENSE SUSPENDED, OP MV WITH c90 §23",4580,14398,"LICENSE SUSPENDED, OP MV WITH","90","23","Yes",0,0,NA
"189","REGISTRATION SUSPENDED, OP MV WITH c90 §23",1862,5955,"REGISTRATION SUSPENDED, OP MV WITH","90","23","Yes",0,0,NA
"190","NUMBER PLATE VIOLATION TO CONCEAL ID c90 §23",724,1818,"NUMBER PLATE VIOLATION TO CONCEAL ID","90","23","Yes",0,0,NA
"191","LICENSE SUSPENDED, OP MV WITH, SUBSQ.OFF c90 §23",612,1895,"LICENSE SUSPENDED, OP MV WITH, SUBSQ.OFF","90","23","Yes",0,0,NA
"192","LICENSE REVOKED AS HTO, OPERATE MV WITH c90 §23",261,589,"LICENSE REVOKED AS HTO, OPERATE MV WITH","90","23","Yes",0,0,NA
"193","LICENSE SUSPENDED FOR OUI, OPER MV WITH c90 §23",79,300,"LICENSE SUSPENDED FOR OUI, OPER MV WITH","90","23","Yes",0,0,NA
"194","REGISTRATION SUSPENDED, OP MV, SUBSQ.OFF c90 §23",16,60,"REGISTRATION SUSPENDED, OP MV, SUBSQ.OFF","90","23","Yes",0,0,NA
"195","LICENSE, EXHIBIT ANOTHER'S c90 §23",7,85,"LICENSE, EXHIBIT ANOTHER'S","90","23","Yes",0,0,NA
"196","LICENSE SUSPENDED, OP MV WITH c. 90 s. 23",0,8,"LICENSE SUSPENDED, OP MV WITH","90","23","Yes",0,0,NA
"197","LICENSE, EXHIBIT ANOTHER'S, SUBSQ.OFF. c90 §23",0,8,"LICENSE, EXHIBIT ANOTHER'S, SUBSQ.OFF.","90","23","Yes",0,0,NA
"198","LICENSE REVOKED AS HTO, OPERATE MV WITH c. 90 s. 23",0,2,"LICENSE REVOKED AS HTO, OPERATE MV WITH","90","23","Yes",0,0,NA
"199","NUMBER PLATE VIOLATION TO CONCEAL ID c. 90 s. 23",0,1,"NUMBER PLATE VIOLATION TO CONCEAL ID","90","23","Yes",0,0,NA
"200","LICENSE SUSPENDED FOR OUI, OPER MV WITH c. 90 s. 23",0,1,"LICENSE SUSPENDED FOR OUI, OPER MV WITH","90","23","Yes",0,0,NA
"201","LICENSE SUSPENDED, OP MV WITH, SUBSQ.OFF c. 90 s. 23",0,1,"LICENSE SUSPENDED, OP MV WITH, SUBSQ.OFF","90","23","Yes",0,0,NA
"202","Attaching Plates, c90,s23",2,0,"ATTACHING PLATES,","90,","23","Yes",0,0,NA
"203","OPERATING MOTOR VEHICLE TO ENDANGER c90 §24",0,35,"OPERATING MOTOR VEHICLE TO ENDANGER","90","24","No",0,0,NA
"204","MOTOR VEH IN FELONY/LARCENY, USE c90 §24A",5,2,"MOTOR VEH IN FELONY/LARCENY, USE","90","24A","Yes",0,0,NA
"205","RMV DOCUMENT, FORGE/MISUSE c90 §24B",45,478,"RMV DOCUMENT, FORGE/MISUSE","90","24B","Yes",0,0,NA
"206","RMV DOCUMENT, POSSESS/USE FALSE/STOLEN c90 §24B",9,212,"RMV DOCUMENT, POSSESS/USE FALSE/STOLEN","90","24B","Yes",0,0,NA
"207","RMV SIGNATURE, POSSESS/USE FALSE/STOLEN c90 §24B",1,23,"RMV SIGNATURE, POSSESS/USE FALSE/STOLEN","90","24B","Yes",0,0,NA
"208","LICENSE, FALSE APPLICATION FOR MV c90 §24B",1,309,"LICENSE, FALSE APPLICATION FOR MV","90","24B","Yes",0,0,NA
"209","RMV SIGNATURE, FORGE/MISUSE c90 §24B",0,23,"RMV SIGNATURE, FORGE/MISUSE","90","24B","Yes",0,0,NA
"210","LICENSE, FALSE APPLICATION FOR MV c. 90 s. 24B",0,2,"LICENSE, FALSE APPLICATION FOR MV","90","24B","Yes",0,0,NA
"211","MOTOR VEH HOMICIDE OUILIQUOR & NEGLIG c90 §24G(a)",8,0,"MOTOR VEH HOMICIDE OUILIQUOR & NEGLIG","90","24G(a)","No",0,1,NA
"212","MOTOR VEH HOMICIDE OUIDRUGS & NEGLIG c90 §24G(a)",6,0,"MOTOR VEH HOMICIDE OUIDRUGS & NEGLIG","90","24G(a)","No",0,1,NA
"213","MOTOR VEH HOMICIDE OUI LIQUOR & NEGLIG c90 §24G(a)",0,4,"MOTOR VEH HOMICIDE OUI LIQUOR & NEGLIG","90","24G(a)","No",0,1,NA
"214","MOTOR VEH HOMICIDE OUI¿LIQUOR & RECKL c90 §24G(a)",0,3,"MOTOR VEH HOMICIDE OUI¿LIQUOR & RECKL","90","24G(a)","No",0,1,NA
"215","MOTOR VEH HOMICIDE BY NEGLIGENT OP c90 §24G(b)",14,24,"MOTOR VEH HOMICIDE BY NEGLIGENT OP","90","24G(b)","No",0,1,NA
"216","MOTOR VEH HOMICIDE BY RECKLESS OP c90 §24G(b)",3,12,"MOTOR VEH HOMICIDE BY RECKLESS OP","90","24G(b)","No",0,1,NA
"217","MOTOR VEH HOMICIDE OUILIQUOR c90 §24G(b)",2,0,"MOTOR VEH HOMICIDE OUILIQUOR","90","24G(b)","No",0,1,NA
"218","MOTOR VEH HOMICIDE OUI¿LIQUOR c90 §24G(b)",0,15,"MOTOR VEH HOMICIDE OUI¿LIQUOR","90","24G(b)","No",0,1,NA
"219","MOTOR VEH HOMICIDE OUI¿DRUGS c90 §24G(b)",0,2,"MOTOR VEH HOMICIDE OUI¿DRUGS","90","24G(b)","No",0,1,NA
"220","ABANDONED/STOLEN/CRUSHED MV, UNREGISTERED OR IMPROPER REMOVAL c. 90 s. 24H",0,1,"ABANDONED/STOLEN/CRUSHED MV, UNREGISTERED OR IMPROPER REMOVAL","90","24H","Yes",0,0,NA
"221","POSSESSION OF OPEN CONTAINER ALCOHOL IN MV c90 §24I",671,0,"POSSESSION OF OPEN CONTAINER ALCOHOL IN MV","90","24I","Yes",0,0,NA
"222","ALCOHOL FROM OPEN CONTAINER IN MV, DRINK c90 §24I",0,527,"ALCOHOL FROM OPEN CONTAINER IN MV, DRINK","90","24I","Yes",0,0,NA
"223","POSSESSION OPEN CONTAINER ALCOHOL IN MV c. 90 s. 24I",0,11,"POSSESSION OPEN CONTAINER ALCOHOL IN MV","90","24I","Yes",0,0,NA
"224","IGNITION INTERLOCK, TAMPER WITH c90/24T(a)",1,0,"IGNITION INTERLOCK, TAMPER WITH","90","24T(a)","No",0,0,NA
"225","OUI CHILD ENDANGERMENT, 1ST OFFENSE c90 §24v",0,25,"OUI CHILD ENDANGERMENT, 1ST OFFENSE","90","24v","No",0,0,NA
"226","Possession Open Container, c90,s24I",1,0,"POSSESSION OPEN CONTAINER,","90,","24I","Yes",0,0,NA
"227","SNOW/REC VEHNOISE VIOLATION * c90B §24",1,0,"SNOW/REC VEHNOISE VIOLATION *","90B","24","",0,0,NA
"228","SNOW/REC VEH¿EQUIPMENT VIOLATION * c90B §24",0,5,"SNOW/REC VEH¿EQUIPMENT VIOLATION *","90B","24","Yes",0,0,NA
"229","STOP FOR POLICE, FAIL c90 §25",347,1514,"STOP FOR POLICE, FAIL","90","25","Yes",0,0,NA
"230","IDENTIFY SELF, MV OPERATOR REFUSE c90 §25",147,662,"IDENTIFY SELF, MV OPERATOR REFUSE","90","25","Yes",0,0,NA
"231","LICENSE/REGIS/PLATES, REFUSE PRODUCE c90 §25",11,113,"LICENSE/REGIS/PLATES, REFUSE PRODUCE","90","25","Yes",0,0,NA
"232","SIGN NAME, MV OPERATOR REFUSE c90 §25",0,11,"SIGN NAME, MV OPERATOR REFUSE","90","25","Yes",0,0,NA
"233","LICENSE, REFUSE PRODUCE IN COURT c90 §25",0,1,"LICENSE, REFUSE PRODUCE IN COURT","90","25","Yes",0,0,NA
"234","SNOW/REC VEHPUBLIC WAY, ON c90B §25",15,0,"SNOW/REC VEHPUBLIC WAY, ON","90B","25","Yes",0,0,NA
"235","SNOW/REC VEH¿PUBLIC WAY, ON c90B §25",0,141,"SNOW/REC VEH¿PUBLIC WAY, ON","90B","25","Yes",0,0,NA
"236","SNOW/REC VEH,PUBLIC WAY, ON c. 90B s. 25",0,1,"SNOW/REC VEH,PUBLIC WAY, ON","90B","25","Yes",0,0,NA
"237","ACCIDENT REPORT, FAIL FILE * c90 §26",3,28,"ACCIDENT REPORT, FAIL FILE *","90","26","Yes",0,0,NA
"238","NAME/ADDRESS CHANGE, FL NOTIFY RMV OF * c90 §26A",94,46,"NAME/ADDRESS CHANGE, FL NOTIFY RMV OF *","90","26A","Yes",0,0,NA
"239","SNOW/REC VEHHELMET VIOLATION * c90B §26",7,0,"SNOW/REC VEHHELMET VIOLATION *","90B","26","",0,0,NA
"240","SNOW/REC VEHUNSAFE OPERATION * c90B §26",4,0,"SNOW/REC VEHUNSAFE OPERATION *","90B","26","",0,0,NA
"241","SNOW/REC VEHUNDER 14 OPERATE UNSUPERVSD c90B §26",2,0,"SNOW/REC VEHUNDER 14 OPERATE UNSUPERVSD","90B","26","",0,0,NA
"242","SNOW/REC VEHOUILIQUOR * c90B §26",1,0,"SNOW/REC VEHOUILIQUOR *","90B","26","",0,0,NA
"243","SNOW VEHPRIVATE PROPERTY, ON * c90B §26",1,0,"SNOW VEHPRIVATE PROPERTY, ON *","90B","26","",0,0,NA
"244","SNOW/REC VEH¿HELMET VIOLATION * c90B §26",0,35,"SNOW/REC VEH¿HELMET VIOLATION *","90B","26","Yes",0,0,NA
"245","SNOW/REC VEH¿UNSAFE OPERATION * c90B §26",0,8,"SNOW/REC VEH¿UNSAFE OPERATION *","90B","26","Yes",0,0,NA
"246","SNOW/REC VEH¿FIREARM, OP WHILE CARRY * c90B §26",0,4,"SNOW/REC VEH¿FIREARM, OP WHILE CARRY *","90B","26","Yes",0,0,NA
"247","SNOW VEH¿PRIVATE PROPERTY, ON * c90B §26",0,1,"SNOW VEH¿PRIVATE PROPERTY, ON *","90B","26","Yes",0,0,NA
"248","LEASE MV LESSEE FAIL RETURN MV c90 §32C",0,1,"LEASE MV LESSEE FAIL RETURN MV","90","32C","Yes",0,0,NA
"249","LEASE MV LESSEE ALLOW UNAUTH PERSON OP c90 §32E",0,7,"LEASE MV LESSEE ALLOW UNAUTH PERSON OP","90","32E","Yes",0,0,NA
"250","LEASE MV OBTAINED BY FRAUD/BAD CHECK c90 §32F",0,2,"LEASE MV OBTAINED BY FRAUD/BAD CHECK","90","32F","Yes",0,0,NA
"251","REGISTER MV IMPROPERLY TO AVOID TAXES/PREMIUMS c90 §3½ (c)(2)",2,0,"REGISTER MV IMPROPERLY TO AVOID TAXES/PREMIUMS","90","3½ (c)(2)","Yes",0,0,NA
"252","SNOW/REC VEHSTOP FOR POLICE, FAIL * c90B §32",1,0,"SNOW/REC VEHSTOP FOR POLICE, FAIL *","90B","32","",0,0,NA
"253","TITLE, FALSE MV c90D §32(a)",2,2,"TITLE, FALSE MV","90D","32(a)","Yes",0,0,NA
"254","TITLE, FALSE STATEMENT IN APPLIC FOR MV c90D §32(a)",1,7,"TITLE, FALSE STATEMENT IN APPLIC FOR MV","90D","32(a)","Yes",0,0,NA
"255","TITLE, ALLOW UNAUTH POSSESSION/USE OF MV c90D §32(b)",1,5,"TITLE, ALLOW UNAUTH POSSESSION/USE OF MV","90D","32(b)","Yes",0,0,NA
"256","STOLEN MV, FAIL REPORT RECOVERY OF c90D §33",0,1,"STOLEN MV, FAIL REPORT RECOVERY OF","90D","33","Yes",0,0,NA
"257","INSURANCE CERTIFICATE, FALSE MV c90 §34B",0,8,"INSURANCE CERTIFICATE, FALSE MV","90","34B","Yes",0,0,NA
"258","INSURANCE CERTIFICATE, FALSE MOTOR VEH c. 90 s. 34B",0,1,"INSURANCE CERTIFICATE, FALSE MOTOR VEH","90","34B","Yes",0,0,NA
"259","UNINSURED MOTOR VEHICLE c90 §34J",2499,8036,"UNINSURED MOTOR VEHICLE","90","34J","Yes",0,0,NA
"260","UNINSURED MOTOR VEHICLE c. 90 s. 34J",0,8,"UNINSURED MOTOR VEHICLE","90","34J","Yes",0,0,NA
"261","BOAT, REFUSE STOP/ID FOR OFFICER c90B §38",0,2,"BOAT, REFUSE STOP/ID FOR OFFICER","90B","38","Yes",0,0,NA
"262","AIRCRAFT OPERATION, INTERFERE WITH c90 §40",0,27,"AIRCRAFT OPERATION, INTERFERE WITH","90","40","Yes",0,0,NA
"263","BOAT, UNSAFE OPERATION OF c90B §8(e)(1)",2,5,"BOAT, UNSAFE OPERATION OF","90B","8(e)(1)","Yes",0,0,NA
"264","BOAT, NEGLIGENT OR RECKLESS OPERATION OF c. 90B s. 8(e)(1)",0,1,"BOAT, NEGLIGENT OR RECKLESS OPERATION OF","90B","8(e)(1)","Yes",0,0,NA
"265","OUT-OF-SVCE ORDER VIOLATION * c90F §9(E½)(3)",0,1,"OUT-OF-SVCE ORDER VIOLATION *","90F","9(E½)(3)","Yes",0,0,NA
"266","OUILIQUOR & SERIOUS INJURY & NEGLIGENT c90 §24L(1)",8,0,"OUILIQUOR & SERIOUS INJURY & NEGLIGENT","90","24L(1)","No",0,0,NA
"267","OUIDRUGS & SERIOUS INJURY & NEGLIGENT c90 §24L(1)",4,0,"OUIDRUGS & SERIOUS INJURY & NEGLIGENT","90","24L(1)","No",0,0,NA
"268","OUILIQUOR & SERIOUS INJURY & RECKLESS c90 §24L(1)",2,0,"OUILIQUOR & SERIOUS INJURY & RECKLESS","90","24L(1)","No",0,0,NA
"269","OUI¿LIQUOR & SERIOUS INJURY & NEGLIGENT c90 §24L(1)",0,21,"OUI¿LIQUOR & SERIOUS INJURY & NEGLIGENT","90","24L(1)","No",0,0,NA
"270","OUI¿DRUGS & SERIOUS INJURY & RECKLESS c90 §24L(1)",0,7,"OUI¿DRUGS & SERIOUS INJURY & RECKLESS","90","24L(1)","No",0,0,NA
"271","OUI¿LIQUOR & SERIOUS INJURY & RECKLESS c90 §24L(1)",0,4,"OUI¿LIQUOR & SERIOUS INJURY & RECKLESS","90","24L(1)","No",0,0,NA
"272","OUI¿DRUGS & SERIOUS INJURY & NEGLIGENT c90 §24L(1)",0,2,"OUI¿DRUGS & SERIOUS INJURY & NEGLIGENT","90","24L(1)","No",0,0,NA
"273","NEGLIGENT OPERATION OF MOTOR VEHICLE c90 §24(2)(a)",2389,2894,"NEGLIGENT OPERATION OF MOTOR VEHICLE","90","24(2)(a)","No",0,0,NA
"274","LEAVE SCENE OF PROPERTY DAMAGE c90 §24(2)(a)",782,2478,"LEAVE SCENE OF PROPERTY DAMAGE","90","24(2)(a)","No",0,0,NA
"275","USE MV WITHOUT AUTHORITY c90 §24(2)(a)",208,1010,"USE MV WITHOUT AUTHORITY","90","24(2)(a)","No",0,0,NA
"276","RECKLESS OPERATION OF MOTOR VEHICLE c90 §24(2)(a)",185,717,"RECKLESS OPERATION OF MOTOR VEHICLE","90","24(2)(a)","No",0,0,NA
"277","LICENSE, ALLOW ANOTHER TO USE c90 §24(2)(a)",5,22,"LICENSE, ALLOW ANOTHER TO USE","90","24(2)(a)","No",0,0,NA
"278","RACING MOTOR VEHICLE c90 §24(2)(a)",3,14,"RACING MOTOR VEHICLE","90","24(2)(a)","No",0,0,NA
"279","USE MV WITHOUT AUTHORITY, 2ND OFF. c90 §24(2)(a)",2,25,"USE MV WITHOUT AUTHORITY, 2ND OFF.","90","24(2)(a)","No",0,0,NA
"280","USE MV WITHOUT AUTHORITY, 3RD OFF. c90 §24(2)(a)",1,3,"USE MV WITHOUT AUTHORITY, 3RD OFF.","90","24(2)(a)","No",0,0,NA
"281","LICENSE, FALSE STATEMENT IN APPLIC FOR c90 §24(2)(a)",0,19,"LICENSE, FALSE STATEMENT IN APPLIC FOR","90","24(2)(a)","No",0,0,NA
"282","REGISTRATION, FALSE STATEMNT IN APPL FOR c90 §24(2)(a)",0,3,"REGISTRATION, FALSE STATEMNT IN APPL FOR","90","24(2)(a)","No",0,0,NA
"283","NEGLIGENT OPERATION OF MOTOR VEHICLE c. 90 s. 24(2)(a)",0,2,"NEGLIGENT OPERATION OF MOTOR VEHICLE","90","24(2)(a)","No",0,0,NA
"284","LEAVE SCENE OF PROPERTY DAMAGE c. 90 s. 24(2)(a)",0,1,"LEAVE SCENE OF PROPERTY DAMAGE","90","24(2)(a)","No",0,0,NA
"285","OUILIQUOR & SERIOUS INJURY c90 §24L(2)",9,0,"OUILIQUOR & SERIOUS INJURY","90","24L(2)","No",0,0,NA
"286","OUIDRUGS & SERIOUS INJURY c90 §24L(2)",2,0,"OUIDRUGS & SERIOUS INJURY","90","24L(2)","No",0,0,NA
"287","OUI¿LIQUOR & SERIOUS INJURY c90 §24L(2)",0,31,"OUI¿LIQUOR & SERIOUS INJURY","90","24L(2)","No",0,0,NA
"288","OUI¿DRUGS & SERIOUS INJURY c90 §24L(2)",0,26,"OUI¿DRUGS & SERIOUS INJURY","90","24L(2)","No",0,0,NA
"289","SCHOOL BUS INSPECTION, FAIL PERFORM POST-TRIP * c90 §7B(17)",0,2,"SCHOOL BUS INSPECTION, FAIL PERFORM POST-TRIP *","90","7B(17)","Yes",0,0,NA
"290","SAFETY STANDARDS, MV NOT MEETING RMV * c90 §7A & §20",141,244,"SAFETY STANDARDS, MV NOT MEETING RMV *","90","7A & §20","Yes",0,0,NA
"291","JUNIOR OPERATOR OP 12-5 AM W/O PARENT c90 §§8 & 10",7,6,"JUNIOR OPERATOR OP 12-5 AM W/O PARENT","90","8 & 10","Yes",0,0,NA
"292","WEIGHT VIOLATION * c90 §19A & §20",1,0,"WEIGHT VIOLATION *","90","19A & §20","Yes",0,0,NA
"293","OUILIQUOR c90 §24(1)(a)(1)",2361,0,"OUILIQUOR","90","24(1)(a)(1)","No",0,0,NA
"294","OUILIQUOR, 2ND OFFENSE c90 §24(1)(a)(1)",677,0,"OUILIQUOR, 2ND OFFENSE","90","24(1)(a)(1)","No",0,0,NA
"295","OUIDRUGS c90 §24(1)(a)(1)",312,0,"OUIDRUGS","90","24(1)(a)(1)","No",0,0,NA
"296","OUILIQUOR, 3RD OFFENSE c90 §24(1)(a)(1)",111,0,"OUILIQUOR, 3RD OFFENSE","90","24(1)(a)(1)","No",0,0,NA
"297","OUILIQUOR, 4TH OFFENSE c90 §24(1)(a)(1)",52,0,"OUILIQUOR, 4TH OFFENSE","90","24(1)(a)(1)","No",0,0,NA
"298","OUIDRUGS, 2ND OFFENSE c90 §24(1)(a)(1)",26,0,"OUIDRUGS, 2ND OFFENSE","90","24(1)(a)(1)","No",0,0,NA
"299","OUIDRUGS, 3RD OFFENSE c90 §24(1)(a)(1)",17,0,"OUIDRUGS, 3RD OFFENSE","90","24(1)(a)(1)","No",0,0,NA
"300","OUILIQUOR, 5TH OFFENSE c90 §24(1)(a)(1)",15,0,"OUILIQUOR, 5TH OFFENSE","90","24(1)(a)(1)","No",0,0,NA
"301","OUIDRUGS, 4TH OFFENSE c90 §24(1)(a)(1)",6,0,"OUIDRUGS, 4TH OFFENSE","90","24(1)(a)(1)","No",0,0,NA
"302","OUILIQUOR, 6TH OFFENSE c90 §24(1)(a)(1)",3,0,"OUILIQUOR, 6TH OFFENSE","90","24(1)(a)(1)","No",0,0,NA
"303","OUI¿LIQUOR c90 §24(1)(a)(1)",0,3900,"OUI¿LIQUOR","90","24(1)(a)(1)","No",0,0,NA
"304","OUI¿LIQUOR, 2ND OFFENSE c90 §24(1)(a)(1)",0,597,"OUI¿LIQUOR, 2ND OFFENSE","90","24(1)(a)(1)","No",0,0,NA
"305","OUI¿DRUGS c90 §24(1)(a)(1)",0,558,"OUI¿DRUGS","90","24(1)(a)(1)","No",0,0,NA
"306","OUI¿LIQUOR, 3RD OFFENSE c90 §24(1)(a)(1)",0,108,"OUI¿LIQUOR, 3RD OFFENSE","90","24(1)(a)(1)","No",0,0,NA
"307","OUI¿DRUGS, 4TH OFFENSE c90 §24(1)(a)(1)",0,54,"OUI¿DRUGS, 4TH OFFENSE","90","24(1)(a)(1)","No",0,0,NA
"308","OUI¿LIQUOR, 4TH OFFENSE c90 §24(1)(a)(1)",0,53,"OUI¿LIQUOR, 4TH OFFENSE","90","24(1)(a)(1)","No",0,0,NA
"309","OUI¿DRUGS, 2ND OFFENSE c90 §24(1)(a)(1)",0,42,"OUI¿DRUGS, 2ND OFFENSE","90","24(1)(a)(1)","No",0,0,NA
"310","OUI¿LIQUOR, 5TH OFFENSE c90 §24(1)(a)(1)",0,18,"OUI¿LIQUOR, 5TH OFFENSE","90","24(1)(a)(1)","No",0,0,NA
"311","OUI¿DRUGS, 3RD OFFENSE c90 §24(1)(a)(1)",0,17,"OUI¿DRUGS, 3RD OFFENSE","90","24(1)(a)(1)","No",0,0,NA
"312","OUI¿DRUGS, 5TH OFFENSE c90 §24(1)(a)(1)",0,5,"OUI¿DRUGS, 5TH OFFENSE","90","24(1)(a)(1)","No",0,0,NA
"313","OUI¿LIQUOR, 9TH OFFENSE c90 §24(1)(a)(1)",0,2,"OUI¿LIQUOR, 9TH OFFENSE","90","24(1)(a)(1)","No",0,0,NA
"314","OUI LIQUOR OR DRUGS c. 90 s. 24(1)(a)(1)",0,2,"OUI LIQUOR OR DRUGS","90","24(1)(a)(1)","No",0,0,NA
"315","OUI¿DRUGS, 7TH OFFENSE c90 §24(1)(a)(1)",0,1,"OUI¿DRUGS, 7TH OFFENSE","90","24(1)(a)(1)","No",0,0,NA
"316","OUI¿DRUGS, 9TH OFFENSE c90 §24(1)(a)(1)",0,1,"OUI¿DRUGS, 9TH OFFENSE","90","24(1)(a)(1)","No",0,0,NA
"317","OUI LIQUOR OR DRUGS, 2ND OFF. c. 90 s. 24(1)(a)(1)",0,1,"OUI LIQUOR OR DRUGS, 2ND OFF.","90","24(1)(a)(1)","No",0,0,NA
"318","OUI-2nd or sub offense, c90,s24(1)(a)(1)",1,0,"OUI-2ND OR SUB OFFENSE,","90,","24(1)(a)(1)","No",0,0,NA
"319","OUI-3rd Offense, c90,s24(1)(a)(1)",1,0,"OUI-3RD OFFENSE,","90,","24(1)(a)(1)","No",0,0,NA
"320","LEAVE SCENE OF PERSONAL INJURY c90 §24(2)(a½)(1)",57,641,"LEAVE SCENE OF PERSONAL INJURY","90","24(2)(a½)(1)","No",0,0,NA
"321","LEAVE SCENE OF PERSONAL INJURY & DEATH c90 §24(2)(a½)(2)",2,48,"LEAVE SCENE OF PERSONAL INJURY & DEATH","90","24(2)(a½)(2)","No",0,0,NA
"322","NUISANCE ERECTED IN PUBLIC WATERS c91 §23",4,0,"NUISANCE ERECTED IN PUBLIC WATERS","91","23","Yes",0,0,NA
"323","MDC RESERVATIONS/HWAYS REGULATIONS VIOL c92 §37",0,1,"MDC RESERVATIONS/HWAYS REGULATIONS VIOL","92","37","Yes",0,0,NA
"324","OPEN CONTAINER MARIJUANA IN VEHICLE c94G s13(d)",56,0,"OPEN CONTAINER MARIJUANA IN VEHICLE","94G","13(d)","Yes",0,0,NA
"325","OPEN CONTAINER MARIJUANA IN VEHICLE c94G §13(d)",0,17,"OPEN CONTAINER MARIJUANA IN VEHICLE","94G","13(d)","Yes",0,0,NA
"326","DRUG, PHARMACIST FAIL LABEL c. 94C s. 21",0,3,"DRUG, PHARMACIST FAIL LABEL","94C","21","Yes",0,0,NA
"327","DRUG, FAIL REPORT DISPENSING c94C §24(a)",0,2,"DRUG, FAIL REPORT DISPENSING","94C","24(a)","Yes",0,0,NA
"328","HYPODERMIC, POSSESS c94C §27(a)",0,5,"HYPODERMIC, POSSESS","94C","27(a)","Yes",0,0,NA
"329","DRUG, POSSESS TO DISTRIB CLASS A c94C §32(a)",265,1458,"DRUG, POSSESS TO DISTRIB CLASS A","94C","32(a)","Yes",0,0,NA
"330","DRUG, DISTRIBUTE CLASS A c94C §32(a)",90,1809,"DRUG, DISTRIBUTE CLASS A","94C","32(a)","Yes",0,0,NA
"331","DRUG, DISTRIBUTE OR POSSESS WITH INTENT, CLASS A c. 94C s. 32(a)",0,3,"DRUG, DISTRIBUTE OR POSSESS WITH INTENT, CLASS A","94C","32(a)","Yes",0,0,NA
"332","DRUG, POSSESS TO DISTRIB CLASS A, SUBSQ. c94C §32(b)",33,431,"DRUG, POSSESS TO DISTRIB CLASS A, SUBSQ.","94C","32(b)","Yes",0,0,NA
"333","DRUG, DISTRIBUTE CLASS A, SUBSQ.OFF. c94C §32(b)",17,593,"DRUG, DISTRIBUTE CLASS A, SUBSQ.OFF.","94C","32(b)","Yes",0,0,NA
"334","DRUG, DISTRIBUTE OR POSSESS WITH INTENT, CLASS A, SUBSQ. OFF. c. 94C s. 32(b)",0,3,"DRUG, DISTRIBUTE OR POSSESS WITH INTENT, CLASS A, SUBSQ. OFF.","94C","32(b)","Yes",0,0,NA
"335","DRUG, POSSESS TO DISTRIB CLASS B c94C §32A(a)",198,2955,"DRUG, POSSESS TO DISTRIB CLASS B","94C","32A(a)","Yes",0,0,NA
"336","DRUG, DISTRIBUTE CLASS B c94C §32A(a)",55,2565,"DRUG, DISTRIBUTE CLASS B","94C","32A(a)","Yes",0,0,NA
"337","OXYCODENE, POSSESSION CLASS B WITH INTENT c94C §32A(a)",0,22,"OXYCODENE, POSSESSION CLASS B WITH INTENT","94C","32A(a)","Yes",0,0,NA
"338","DRUG, DISTRIBUTE OR POSSESS WITH INTENT, CLASS B c. 94C s. 32A(a)",0,5,"DRUG, DISTRIBUTE OR POSSESS WITH INTENT, CLASS B","94C","32A(a)","Yes",0,0,NA
"339","DISTRIBUTION OXYCODENE c94C §32A(a)",0,3,"DISTRIBUTION OXYCODENE","94C","32A(a)","Yes",0,0,NA
"340","DRUG, POSSESS TO DISTRIB CLASS B, SUBSQ. c94C §32A(b)",16,781,"DRUG, POSSESS TO DISTRIB CLASS B, SUBSQ.","94C","32A(b)","Yes",0,0,NA
"341","DRUG, POSSESS TO DISTRIB CLASS B, HABITUAL c94C §32A(b)",10,0,"DRUG, POSSESS TO DISTRIB CLASS B, HABITUAL","94C","32A(b)","Yes",0,0,NA
"342","DRUG, DISTRIBUTE CLASS B, SUBSQ.OFF. c94C §32A(b)",9,907,"DRUG, DISTRIBUTE CLASS B, SUBSQ.OFF.","94C","32A(b)","Yes",0,0,NA
"343","DRUG, DISTRIBUTE CLASS B, HABITUAL c94C §32A(b)",3,0,"DRUG, DISTRIBUTE CLASS B, HABITUAL","94C","32A(b)","Yes",0,0,NA
